"Cycle_Index","Discharge_Capacity (Ah)"
"704","1.004"
"705","1.004"
"706","1.004"
"707","1.003"
"708","1.003"
"709","1.003"
"710","1.003"
"711","1.003"
"712","1.003"
"713","1.003"
"714","1.003"
"715","1.003"
"716","1.003"
"717","1.003"
"718","1.003"
"719","1.002"
"720","1.002"
"721","1.002"
"722","1.002"
"723","1.002"
"724","1.002"
"725","1.002"
"726","1.002"
"727","1.002"
"728","1.002"
"729","1.002"
"730","1.002"
"731","1.002"
"732","1.001"
"733","1.001"
"734","1.001"
"735","1.001"
"736","1.001"
"737","1.001"
"738","1.001"
"739","1.001"
"740","1.001"
"741","1.001"
"742","1.001"
"743","1.001"
"744","1"
"745","1"
"746","1"
"747","1"
"748","1"
"749","1"
"750","1"
"751","1"
"752","1"
"753","1"
"754","1"
"755","1"
"756","1"
"757","1"
"758","0.999"
"759","0.999"
"762","0.999"
"763","0.999"
"764","0.999"
"765","0.999"
"766","0.999"
"767","0.999"
"768","0.999"
"769","0.999"
"770","0.999"
"771","0.998"
"772","0.998"
"773","0.998"
"774","0.998"
"775","0.998"
"776","0.998"
"777","0.998"
"778","0.998"
"779","0.998"
"780","0.998"
"781","0.998"
"782","0.997"
"783","0.997"
"784","0.997"
"785","0.997"
"786","0.997"
"787","0.997"
"788","0.997"
"789","0.997"
"790","0.997"
"791","0.997"
"792","0.997"
"793","0.997"
"795","0.997"
"796","0.997"
"797","0.997"
"798","0.996"
"799","0.996"
"800","0.996"
"801","0.996"
"802","0.996"
"803","0.996"
"804","0.996"
"806","0.996"
"807","0.996"
"808","0.996"
"809","0.996"
"810","0.996"
"812","0.996"
"813","0.995"
"814","0.995"
"815","0.995"
"816","0.995"
"817","0.995"
"818","0.995"
"819","0.995"
"820","0.995"
"821","0.995"
"822","0.995"
"823","1.01"
"824","1.01"
"825","1.011"
"826","0"
"827","1.016"
"828","1.019"
"829","1.02"
"830","2.011"
"831","1.006"
"832","1.006"
"833","1.006"
"834","1.006"
"835","1.006"
"836","1.005"
"837","1.005"
"838","1.005"
"839","1.005"
"841","1.005"
"842","1.005"
"843","1.005"
"844","1.005"
"845","1.004"
"846","1.004"
"847","1.004"
"848","1.004"
"850","1.004"
"851","1.004"
"852","1.004"
"853","1.003"
"854","1.003"
"855","1.003"
"856","1.003"
"857","1.003"
"858","1.003"
"860","1.003"
"861","1.003"
"862","1.002"
"864","1.002"
"865","1.002"
"866","1.002"
"867","1.002"
"868","1.002"
"869","1.002"
"870","1.002"
"871","1.001"
"872","1.001"
"873","1.001"
"874","1.001"
"875","1.001"
"876","1.001"
"877","1.001"
"878","1.001"
"879","1.001"
"880","1.001"
"881","1.001"
"882","1"
"883","1.001"
"884","1"
"885","1"
"887","1"
"888","1"
"889","1"
"890","1"
"893","0.999"
"894","0.999"
"895","0.999"
"896","0.999"
"897","0.999"
"898","0.999"
"899","0.999"
"901","0.999"
"903","0.999"
"904","0.998"
"905","0.998"
"906","0.998"
"907","0.998"
"908","0.998"
"909","0.998"
"910","0.998"
"911","0.998"
"912","0.998"
"913","0.998"
"914","0.997"
"915","0.997"
"916","0.997"
"917","0.997"
"918","0.997"
"919","0.997"
"920","0.997"
"921","0.997"
"923","0.997"
"924","0.997"
"925","0.997"
"926","0.997"
"927","0.997"
"928","0.996"
"929","0.996"
"930","0.996"
"931","0.996"
"932","0.996"
"933","0.996"
"934","0.996"
"935","0.996"
"936","0.996"
"937","0.996"
"938","0.996"
"939","0.996"
"940","0.995"
"941","0.995"
"942","0.995"
"943","0.995"
"945","0.995"
"946","0.995"
"947","0.995"
"948","0.995"
"949","0.995"
"950","0.995"
"951","0.995"
"952","0.995"
"953","0.994"
"954","0.994"
"955","0.994"
"956","0.994"
"957","0.994"
"958","0.994"
"959","0.994"
"960","0.994"
"961","0.994"
"962","0.994"
"963","0.994"
"964","0.994"
"965","0.993"
"969","0.993"
"970","0.993"
"971","0.993"
"972","0.993"
"973","0.993"
"974","0.993"
"975","0.993"
"976","0.993"
"977","0.993"
"978","0.993"
"979","0.992"
"980","0.992"
"981","0.992"
"982","0.992"
"983","0.992"
"984","0.992"
"985","0.992"
"986","0.992"
"987","0.992"
"989","0.992"
"991","0.992"
"992","0.991"
"993","0.991"
"994","0.991"
"996","0.991"
"997","0.991"
"998","0.991"
"999","0.991"
"1001","0.991"
"1002","0.991"
"1003","0.991"
"1004","0.991"
"1005","0.991"
"1006","0.991"
"1009","0.99"
"1011","0.99"
"1012","0.99"
"1013","0.99"
"1014","0.99"
"1015","0.99"
"1016","0.99"
"1017","0.99"
"1018","0.99"
"1019","0.99"
"1020","0.99"
"1021","0.989"
"1022","0.989"
"1023","0.989"
"1024","0.989"
"1025","0.989"
"1027","0.989"
"1028","0.989"
"1030","1.005"
"1031","1.005"
"1032","0"
"1033","1.01"
"1034","1.013"
"1035","1.013"
"1036","1.996"
"1037","0.998"
"1038","0.998"
"1039","0.998"
"1040","0.998"
"1041","0.998"
"1042","0.998"
"1043","0.998"
"1044","0.998"
"1045","0.997"
"1046","0.997"
"1047","0.997"
"1048","0.997"
"1049","0.997"
"1050","0.997"
"1051","0.997"
"1052","0.997"
"1053","0.996"
"1054","0.996"
"1055","0.996"
"1056","0.996"
"1058","0.996"
"1059","0.996"
"1060","0.996"
"1061","0.995"
"1062","0.995"
"1063","0.995"
"1064","0.995"
"1065","0.995"
"1066","0.995"
"1067","0.995"
"1068","0.995"
"1071","0.995"
"1072","0.994"
"1073","0.994"
"1074","0.994"
"1075","0.994"
"1076","0.994"
"1077","0.994"
"1078","0.994"
"1079","0.994"
"1080","0.994"
"1081","0.994"
"1082","0.993"
"1083","0.993"
"1084","0.993"
"1085","0.993"
"1086","0.993"
"1087","0.993"
"1088","0.993"
"1089","0.993"
"1090","0.993"
"1091","0.992"
"1092","0.992"
"1093","0.992"
"1094","0.992"
"1095","0.992"
"1096","0.992"
"1097","0.992"
"1098","0.992"
"1099","0.992"
"1100","0.992"
"1101","0.992"
"1102","0.991"
"1103","0.991"
"1104","0.991"
"1105","0.991"
"1106","0.991"
"1107","0.991"
"1108","0.991"
"1109","0.991"
"1110","0.991"
"1111","0.99"
"1113","0.99"
"1114","0.99"
"1115","0.99"
"1116","0.99"
"1117","0.99"
"1118","0.99"
"1119","0.99"
"1121","0.989"
"1122","0.989"
"1123","0.989"
"1124","0.989"
"1125","0.989"
"1126","0.989"
"1127","0.989"
"1129","0.989"
"1131","0.989"
"1132","0.989"
"1133","0.989"
"1134","0.988"
"1136","0.988"
"1137","0.988"
"1138","0.988"
"1139","0.988"
"1140","0.988"
"1141","0.988"
"1143","0.988"
"1144","0.988"
"1145","0.988"
"1147","0.988"
"1148","0.988"
"1150","0.987"
"1151","0.987"
"1152","0.987"
"1153","0.987"
"1154","0.987"
"1155","0.987"
"1156","0.987"
"1157","0.987"
"1158","0.987"
"1159","0.987"
"1160","0.987"
"1161","0.987"
"1162","0.987"
"1163","0.986"
"1164","0.986"
"1165","0.986"
"1166","0.986"
"1167","0.986"
"1168","0.986"
"1169","0.986"
"1170","0.986"
"1171","0.986"
"1172","0.985"
"1173","0.985"
"1174","0.985"
"1175","0.985"
"1176","0.985"
"1177","0.985"
"1178","0.985"
"1179","0.985"
"1181","0.985"
"1182","0.985"
"1183","0.985"
"1184","0.985"
"1185","0.985"
"1187","0.984"
"1189","0.984"
"1190","0.984"
"1191","0.984"
"1193","0.984"
"1194","0.984"
"1195","0.984"
"1196","0.984"
"1197","0.984"
"1199","0.984"
"1200","0.983"
"1201","0.983"
"1202","0.983"
"1203","0.983"
"1204","0.983"
"1205","0.983"
"1206","0.983"
"1207","0.983"
"1208","0.983"
"1210","0.983"
"1211","0.982"
"1213","0.982"
"1214","0.982"
"1215","0.983"
"1216","0.983"
"1217","0.981"
"1218","0.982"
"1219","0.982"
"1220","0.982"
"1221","0.982"
"1222","0.982"
"1223","0.982"
"1224","0.982"
"1225","0.982"
"1226","0.981"
"1227","0.981"
"1228","0.981"
"1229","0.981"
"1230","0.981"
"1231","0.981"
"1232","0.981"
"1234","0.981"
"1235","0.998"
"1236","0.998"
"1237","0.999"
"1238","0"
"1239","1.001"
"1240","1.003"
"1241","1.003"
"1242","1.972"
"1243","0.986"
"1244","0.986"
"1245","0.986"
"1246","0.986"
"1247","0.985"
"1248","0.985"
"1249","0.985"
"1250","0.985"
"1251","0.985"
"1252","0.985"
"1253","0.985"
"1254","0.985"
"1255","0.985"
"1256","0.984"
"1258","0.984"
"1259","0.984"
"1260","0.984"
"1261","0.984"
